variable;unit;piam_variable;piam_unit;piam_factor;Definition;Comment;internal_comment;exclude_remind2_validation
Final Energy|Residential|Space and Water Heating|Solids|Biomass;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space and Water Heating|Solids|Fossil;EJ/yr;;;;;not modelled but post-processed;;
Final Energy|Residential|Space Cooling;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Electricity;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Gases;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Heat;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Hydrogen;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Liquids;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Other;EJ/yr;;;;;not modelled;;
Final Energy|Residential|Water Heating|Solids;EJ/yr;;;;;not modelled;;
Final Energy|Residential|White Appliances;EJ/yr;;;;;not modelled;;
Price|Carbon|EU-wide Regulation Non-ETS;EUR_2020/t CO2;Price|Carbon|ESR;US$2005/t CO2;1.17;;;;
Price|Final Energy|Residential and Commercial|Electricity;EUR_2020/GJ;Price|Final Energy|Buildings|Electricity|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Gases;EUR_2020/GJ;Price|Final Energy|Buildings|Gases|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Heat;EUR_2020/GJ;Price|Final Energy|Buildings|Heat|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Liquids;EUR_2020/GJ;Price|Final Energy|Buildings|Liquids|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential and Commercial|Solids;EUR_2020/GJ;Price|Final Energy|Buildings|Solids|Moving Avg;US$2005/GJ;1.17;;;;
Price|Final Energy|Residential|Electricity;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Gases;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Heat;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Liquids;EUR_2020/GJ;;;;;not modelled;;
Price|Final Energy|Residential|Solids;EUR_2020/GJ;;;;;not modelled;;
Total Energy System Cost|Residential|Investments;billion EUR_2020;;;;;not modelled;;
Total Energy System Cost|Residential|Investments|Energy Equipment;billion EUR_2020;;;;;not modelled;;
Total Energy System Cost|Residential|Investments|New Constructions;billion EUR_2020;;;;;not modelled;;
Total Energy System Cost|Residential|Investments|Renovation of old constructions;billion EUR_2020;;;;;not modelled;;
Useful Energy|Residential and Commercial|Space and Water Heating;EJ /yr;UE|Buildings|Heating;EJ /yr;1;;;;
Useful Energy|Residential|Space and Water Heating;EJ /yr;;;;;not modelled but post-processed;;
Useful Energy|Residential|Cooking;EJ/yr;;;;;;;
Useful Energy|Residential|Space Cooling;EJ/yr;;;;;;;
Useful Energy|Residential|Space Heating;EJ /yr;;;;;;;
Useful Energy|Residential|Water Heating;EJ/yr;;;;;;;
